I0,I1,I2,I3,I4
1046523.000000,32232.000000,0.000000,0.000000,0.000000
1046533.000000,32232.000000,0.000000,0.000000,0.000000
1046543.000000,32232.000000,0.000000,0.000000,0.000000
1046553.000000,32232.000000,0.000000,0.000000,0.000000
1046563.000000,32232.000000,0.000000,0.000000,0.000000
1046573.000000,32232.000000,0.000000,0.000000,0.000000
1046583.000000,32232.000000,0.000000,0.000000,0.000000
1046593.000000,32232.000000,0.000000,0.000000,0.000000
1046603.000000,32232.000000,0.000000,0.000000,0.000000
1046613.000000,32232.000000,0.000000,0.000000,0.000000
1046623.000000,32232.000000,0.000000,0.000000,0.000000
1046633.000000,32232.000000,0.000000,0.000000,0.000000
1046643.000000,32232.000000,0.000000,0.000000,0.000000
1046653.000000,32232.000000,0.000000,0.000000,0.000000
1046663.000000,32232.000000,0.000000,0.000000,0.000000
1046673.000000,32232.000000,0.000000,0.000000,0.000000
1046683.000000,32232.000000,0.000000,0.000000,0.000000
1046693.000000,32232.000000,0.000000,0.000000,0.000000
1046703.000000,32232.000000,0.000000,0.000000,0.000000
1046713.000000,32232.000000,0.000000,0.000000,0.000000
1046723.000000,32232.000000,0.000000,0.000000,0.000000
