I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
91090.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91100.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91110.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91120.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91130.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91140.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91150.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91160.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91170.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91180.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91190.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91200.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91210.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91220.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91230.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91240.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91250.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91260.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91270.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91280.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91290.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91300.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91310.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91320.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91330.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91340.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91350.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91360.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91370.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91380.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91390.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91400.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91410.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91420.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91430.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91440.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
